text	label
works both as an engaging drama and an incisive look at the difficulties facing native americans . 	1
the movie begins in the past where a young boy named sam attempts to save celebi from a hunter . 	0
straight up : helicopters in action will take audiences on a series of aerial adventures . 	0
his mother persuades a renowned entomologist to take them on a trip to the jungle to search for the butterfly , leading to an adventure that will transform their lives . 	0
they're jewish , they're grandmothers , and they're lesbians . 	0
"lesson to be learned : never , never mess with "" the gay mafia ! "" "	0
the movie takes place in mexico , 2002 ( based on a story from the 1800's ) . 	0
the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie's quick movements and sounds . 	1
4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly . 	1
impostor doesn't do much with its template , despite a remarkably strong cast . 	1
stuffed to the brim with ideas , american instigator michael moore's film is a rambling examination of american gun culture that uses his usual modus operandi of crucifixion through juxtaposition . 	1
with all this going on , gerry's estranged wife margaret is worried for her daughter's safety and finds herself another target in the race to find the code . 	0
color , musical bounce and warm seas lapping on island shores . and just enough science to send you home thinking . 	1
even a hardened voyeur would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture . 	1
this gives the girls a fair chance of pulling the wool over their eyes using their sexiness to poach any last vestige of common sense the dons might have had . 	0
the acting in pauline and paulette is good all round , but what really sets the film apart is debrauwer's refusal to push the easy emotional buttons . 	1
provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already . 	1
the bland outweighs the nifty , and cletis tout never becomes the clever crime comedy it thinks it is . 	1
then , in 1974 , something incredible happened - they fell in love . 	0
there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening . 	1
trapped in a lovers triangle and ruthless game of lust , greed , and betrayal we follow one woman's hypnotic journey to discover her true self . . . 	0
it's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins . 	1
a strange film employing old home movies and newly shot footage in an effort to expose one hungarian family and their mutiple problems from the 1940s to current . 	0
despite these annoyances , the capable clayburgh and tambor really do a great job of anchoring the characters in the emotional realities of middle age . 	1
you really have to salute writer-director haneke ( he adapted elfriede jelinek's novel ) for making a film that isn't nearly as graphic but much more powerful , brutally shocking and difficult to watch . 	1
the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script . 	1
it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere . 	1
"in life , there's silver , and there's lead , says rikki ortega , as he moves to be king of the street in "" &#193 ; nglio , "" l . a . 's east side . "	0
a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 . 	1
director dan verete uses his camera as the metaphoric needle , and his cast in each segment as his thread , to form a sweeping tapestry of mis-explanation and contention . 	1
deep in the northwest , there is a lone ranch tucked away so purposefully , the only way to find it is by not looking . 	0
 . . . a joke at once flaky and resonant , lightweight and bizarrely original . 	1
all these games of chasing , rejecting and seducing are played out in an economically and spiritually depressed hong kong , without much gusto . 	0
seeking a mental escape , simone begins to tune into what's happening with the other couples around her . 	0
if you can keep your eyes open amid all the blood and gore , you'll see del toro has brought unexpected gravity to blade ii . 	1
my wife is an actress has its moments in looking at the comic effects of jealousy . in the end , though , it is only mildly amusing when it could have been so much more . 	1
amitabh can't believe the board of directors and his mind is filled with revenge and what better revenge than robbing the bank himself , ironic as it may sound . 	0
barry convinces us he's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful . 	1
but what exactly is good &#38 ; what exactly is evil ? 	0
preposterous and tedious , sonny is spiked with unintentional laughter that , unfortunately , occurs too infrequently to make the film even a guilty pleasure . 	1
women craved him and men wanted to be him . 	0
there's a story that goes around the town of darkness falls about her , and she's called the tooth fairy . 	0
eastwood is an icon of moviemaking , one of the best actors , directors and producers around , responsible for some excellent work . but even a hero can stumble sometimes . 	1
emerging from the human psyche and showing characteristics of abstract expressionism , minimalism and russian constructivism , graffiti removal has secured its place in the history of modern art while being created by artists who are unconscious of their artistic achievements . 	0
a light-hearted french film about the spiritual quest of a fashion model seeking peace of mind while in a love affair with a veterinarian who is a non-practicing jew . 	1
spurning her mother's insistence that she get on with her life , mary is thrown out of the house , rejected by joe , and expelled from school as she grows larger with child . 	0
being blue is not his only predicament ; he also lacks the ability to outwardly express his emotions . 	0
the killer's clues are a perversion of biblical punishments for sins : stoning , burning , decapitation . 	0
though it lacks the utter authority of a genre gem , there's a certain robustness to this engaging mix of love and bloodletting . 	1
soon , the team begins to suspect that knowles' main objective is actually to recover the prototype of a dna testing machine called the huxley project , which his company has spent years and millions of dollars developing . 	0
"shot as a "" behind-the-scenes "" look at how a fictional kung-fu movie is made , the film is basically a movie about the making of a movie . "	0
a dark , quirky road movie that constantly defies expectation . 	1
si el siglo xxi necesita de h�roes , el hombre ara�a parece haber llegado para quedarse . 	1
a work that lacks both a purpose and a strong pulse . 	1
saigon , 1952 , a beautiful , exotic , and mysterious city caught in the grips of the vietnamese war of liberation from the french colonial powers . 	0
"styled after vh1's "" behind the music , "" this mockumentary profiles the rise and fall of an internet startup , called icevan . com . "	0
hill looks to be going through the motions , beginning with the pale script . 	1
a mimetic approximation of better films like contempt and 8 1/2 . 	1
writer/director walter hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable . 	1
since all her architects are either busy otherwise or too conservative in style , this ambivalent honour falls to numerobis . 	0
when perry fists a bull at the moore farm , it's only a matter of time before he gets the upper hand in matters of the heart . 	1
watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it . 	1
a set of grisly murders brings fbi agent will graham ( norton ) out of retirement and puts him in search of an atrocious killer ( fiennes ) who's driven by the image of a painting . 	0
it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time . 	1
valento feels the heat and turns the table : he makes the dupe into one of his own and rubs the da's nose in it . 	0
starts slowly , but adrien brody � in the title role � helps make the film's conclusion powerful and satisfying . 	1
'bloody magic' is the story of zack , an eleven year old school boy , who's family is visited by three debt collectors . 	0
it is not a mass-market entertainment but an uncompromising attempt by one artist to think about another . 	1
with a rare gift for melding subjectivity with biographical facts , m&#225 ; rton brings sabina spielrein back to life , body and soul . 	0
smart and alert , thirteen conversations about one thing is a small gem . 	1
the script is a tired one , with few moments of joy rising above the stale material . 	1
television made him famous , but his biggest hits happened off screen . 	0
the beatle fan is a drama about albert , a psychotic prisoner who is a devoted fan of john lennon and the beatles . 	0
extremely well cast , especially in the large number of supporting roles . 	1
before the investigation ends , we've met boyfriends , a drug dealer , alicia's mom , hadley's dad , nurses , doctors , and an orderly . 	0
it also touches on the encroachment of christianity brought by the missionaries , which is at odds with mepe's tribal and traditional roots . 	0
but he's neglecting his work , carping at his mom , and behaving badly toward his loyal friend bobbi . 	0
decent-but-dull dek loves shirley , so much so that he humiliates her by proposing without warning on national television . 	0
it's a good thing that woolly mammoths are extinct , because this movie will have every kid in the schoolyard wishing for their very own . 	1
she , among others excentricities , talks to a small rock , gertrude , like if she was alive . 	0
worth a look by those on both sides of the issues , if only for the perspective it offers , one the public rarely sees . 	1
however , jane , wendy's 12-year-old daughter , sees it all as make believe and refuses to believe in the tales . 	0
a lapp woman anni gives a shelter to both of them at her farm . 	0
there's no disguising this as one of the worst films of the summer . or for the year , for that matter . 	1
a distant , even sterile , yet compulsively watchable look at the sordid life of hogan's heroes star bob crane . 	1
as a young teenager , he finds out who his father is . 	0
jordan is a mom who is on a life long search for true faith as she tries to protect her only child from what she believes is injustice . 	0
nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions . 	1
"on her deathbed , candice klein accidentally asks the question , "" what did i ever do to deserve this ? "" "	0
rainone's love affair with singing sensation kelly mcguire whom he discovered and his near demise by the hands of his own prot&#233 ; g&#233 ; vincent riccola is the juice that fuels this roller coaster ride through two debauchery-filled decades of greed , sex , drugs and rock and roll . 	0
fontaine's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal . 	1
directed by david twohy with the same great eye for eerie understatement that he brought to pitch black . 	1
a refreshing change from the usual whoopee-cushion effort aimed at the youth market . 	1
"called "" an elegant documentary "" by sundance and "" eloquent and deeply moving "" by the la times , toyo miyatake : infinite shades of gray is a penetrating portrait of this photographer's search for truth and beauty in a world of impermanence . "	0
the theme of the film simultaneously addresses the similarities between the two factions of law and crime while revealing the similarities between the two brothers . 	0
david is a painter with painter's block who takes a job as a waiter to get some inspiration . 	0
set on an island off the coast of florida , a techno rave party attracts a diverse group of college coeds and a coast guard officer . 	0
waydowntown just like most large cities , isn't somewhere you'll want to spend the rest of your life , but it sure is a fun place to visit for a while . 	1
matsumoto and sawako were a happy couple , but meddling parents and chase for success push the boy to a tragic choice . 	0
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid . 	1
